Gene ID,Gene Name,Function
K03520,coxL,Carbon
K01601,rbcL,Carbon
K00193,cdhC,Carbon
K00194,cdhD,Carbon
K00195,cdhB,Carbon
K00197,cdhB,Carbon
K00200,fwdA/fmdA,Carbon
K00201,fwdB/fmbB,Carbon
K00202,fwdC/fmbC,Carbon
K00203,fwdD/fmbD,Carbon
K11261,fwdE/fmdE,Carbon
K05922,hydB,Hydrogen
K18016,mbhL,Hydrogen
K00367,narB,Nitrogen
K00366,nirA,Nitrogen
K03385,nfrA,Nitrogen
K00370,narG/nxrA,Nitrogen
K02567,napA,Nitrogen
K00368,nirK,Nitrogen
K15864,nirS,Nitrogen
K04561,norB,Nitrogen
K00376,nosZ,Nitrogen
K05601,hcp,Nitrogen
K00362,nirB,Nitrogen
K02586,nifD,Nitrogen
K03782,katG,Oxygen
K00518,sodN,Oxygen
K02703,psbA1,Oxygen
K00392,sir,Sulfur
K21900,cysL,Sulfur
K07306,dmsA,Sulfur
K11180,dsrA,Sulfur
K21307,soeA,Sulfur
K17225,soxC,Sulfur
K00304,soxD,Sulfur
K08352,phsA/psrA,Sulfur